room_count,bathroom_count,size,price,log_price,category_encoded,city_encoded,region_encoded,type_encoded
-1.0,-1.0,-1.0,100000.0,5.0,6,0,187,1
-1.0,-1.0,-1.0,316000.0,5.4996870826184034,6,0,7,1
2.0,1.0,80.0,380.0,2.57978359661681,0,0,7,0
1.0,1.0,90.0,70.0,1.845098040014257,3,0,7,0
2.0,2.0,113.0,170000.0,5.230448921378274,0,0,6,1
1.0,1.0,70.0,80.0,1.9030899869919435,3,0,7,0
2.0,1.0,100.0,670.0,2.8260748027008264,0,0,19,0
2.0,1.0,20.0,650.0,2.812913356642856,4,0,19,0
-1.0,-1.0,-1.0,180000.0,5.2552725051033065,6,0,7,1
1.0,1.0,40.0,450.0,2.6532125137753435,4,0,6,0
4.0,2.0,1208.0,700000.0,5.845098040014257,5,0,137,1
-1.0,-1.0,-1.0,600000.0,5.778151250383644,6,0,137,1
5.0,3.0,220.0,2000.0,3.3010299956639813,5,0,37,0
3.0,2.0,138.0,340000.0,5.531478917042255,0,0,107,1
2.0,1.0,150.0,120000.0,5.079181246047625,5,0,187,1
3.0,1.0,180.0,300.0,2.4771212547196626,0,0,19,0
3.0,1.0,250.0,500.0,2.6989700043360187,0,0,6,0
-1.0,-1.0,-1.0,350000.0,5.544068044350276,6,0,224,1
2.0,1.0,80.0,230000.0,5.361727836017593,0,0,70,1
1.0,1.0,20.0,55000.0,4.740362689494244,4,0,19,1
2.0,1.0,80.0,400.0,2.6020599913279625,0,0,91,0
4.0,2.0,200.0,440000.0,5.643452676486188,0,0,70,1
4.0,2.0,130.0,125000.0,5.096910013008056,5,0,7,1
2.0,1.0,150.0,170000.0,5.230448921378274,5,0,91,1
4.0,1.0,160.0,310000.0,5.491361693834273,0,0,7,1
2.0,1.0,89.0,136000.0,5.133538908370218,0,0,19,1
2.0,1.0,94.0,185000.0,5.267171728403014,0,0,137,1
1.0,1.0,79.0,146150.0,5.164798819693456,0,0,91,1
-1.0,-1.0,-1.0,420000.0,5.623249290397901,6,0,137,1
6.0,4.0,1200.0,1150000.0,6.060697840353612,5,0,137,1
4.0,2.0,320.0,265000.0,5.423245873936808,5,0,91,1
3.0,1.0,130.0,1250.0,3.096910013008056,5,0,70,0
3.0,1.0,157.0,340000.0,5.531478917042255,0,0,70,1
1.0,1.0,330.0,1550000.0,6.190331698170292,4,0,137,1
3.0,2.0,220.0,490000.0,5.690196080028514,5,0,70,1
2.0,1.0,105.0,225000.0,5.352182518111363,0,0,137,1
-1.0,-1.0,-1.0,180000.0,5.2552725051033065,6,0,7,1
5.0,2.0,400.0,620000.0,5.792391689498253,5,0,37,1
1.0,1.0,65.0,4000.0,3.6020599913279625,4,0,107,0
3.0,1.0,130.0,320000.0,5.505149978319906,0,0,70,1
-1.0,-1.0,-1.0,90000.0,4.954242509439325,6,0,187,1
-1.0,-1.0,-1.0,558000.0,5.746634198937579,6,0,137,1
1.0,1.0,90.0,175.0,2.2430380486862944,0,0,91,0
2.0,2.0,430.0,3500.0,3.544068044350276,4,0,137,0
2.0,1.0,75.0,475.0,2.6766936096248664,0,0,187,0
5.0,2.0,500.0,1000.0,3.0,5,0,7,0
2.0,1.0,80.0,90.0,1.954242509439325,0,0,70,0
5.0,2.0,450.0,2500.0,3.397940008672037,5,0,7,0
4.0,2.0,180.0,750000.0,5.8750612633917,5,0,137,1
5.0,3.0,265.0,470000.0,5.672097857935717,5,0,137,1
4.0,1.0,120.0,120.0,2.0791812460476247,4,0,7,0
2.0,1.0,100.0,1000.0,3.0,0,0,70,0
2.0,1.0,80.0,420.0,2.6232492903979003,0,0,91,0
2.0,1.0,120.0,270000.0,5.431363764158987,0,0,70,1
1.0,2.0,220.0,1000.0,3.0,4,0,137,0
3.0,2.0,100.0,170000.0,5.230448921378274,0,0,19,1
2.0,1.0,74.0,180000.0,5.2552725051033065,0,0,70,1
