room_count,bathroom_count,size,price,Property_type,Type,City,Region
3.0,1.0,120.0,100000.0,6,1,0,187
3.0,1.0,120.0,316000.0,6,1,0,7
2.0,1.0,80.0,380.0,0,0,0,7
1.0,1.0,90.0,70.0,3,0,0,7
1.0,1.0,70.0,80.0,3,0,0,7
2.0,1.0,100.0,670.0,0,0,0,19
3.0,1.0,120.0,180000.0,6,1,0,7
1.0,1.0,40.0,450.0,4,0,0,6
3.0,1.0,120.0,600000.0,6,1,0,137
2.0,1.0,150.0,120000.0,5,1,0,187
3.0,1.0,180.0,300.0,0,0,0,19
3.0,1.0,120.0,350000.0,6,1,0,224
2.0,1.0,80.0,230000.0,0,1,0,70
2.0,1.0,80.0,400.0,0,0,0,91
2.0,1.0,150.0,170000.0,5,1,0,91
4.0,1.0,160.0,310000.0,0,1,0,7
2.0,1.0,89.0,136000.0,0,1,0,19
2.0,1.0,94.0,185000.0,0,1,0,137
1.0,1.0,79.0,146150.0,0,1,0,91
3.0,1.0,120.0,420000.0,6,1,0,137
3.0,1.0,130.0,1250.0,5,0,0,70
3.0,1.0,157.0,340000.0,0,1,0,70
2.0,1.0,105.0,225000.0,0,1,0,137
3.0,1.0,120.0,180000.0,6,1,0,7
1.0,1.0,65.0,4000.0,4,0,0,107
3.0,1.0,130.0,320000.0,0,1,0,70
3.0,1.0,120.0,90000.0,6,1,0,187
3.0,1.0,120.0,558000.0,6,1,0,137
1.0,1.0,90.0,175.0,0,0,0,91
2.0,1.0,75.0,475.0,0,0,0,187
2.0,1.0,80.0,90.0,0,0,0,70
4.0,1.0,120.0,120.0,4,0,0,7
2.0,1.0,100.0,1000.0,0,0,0,70
2.0,1.0,80.0,420.0,0,0,0,91
2.0,1.0,120.0,270000.0,0,1,0,70
2.0,1.0,74.0,180000.0,0,1,0,70
2.0,1.0,90.0,205000.0,0,1,0,5
3.0,1.0,160.0,1200.0,0,0,0,70
2.0,1.0,120.0,330.0,5,0,0,187
4.0,1.0,126.0,250000.0,0,1,0,70
3.0,1.0,120.0,110000.0,6,1,0,7
2.0,1.0,75.0,90.0,0,0,0,7
2.0,1.0,108.0,90.0,0,0,0,7
1.0,1.0,100.0,1800.0,4,0,0,6
3.0,1.0,130.0,1200.0,5,0,0,107
1.0,1.0,150.0,68000.0,5,1,0,37
1.0,1.0,30.0,10000.0,4,1,0,107
2.0,1.0,68.0,700.0,0,0,0,6
3.0,1.0,125.0,140000.0,5,1,0,187
2.0,1.0,100.0,490.0,0,0,0,91
1.0,1.0,64.0,155000.0,0,1,0,7
3.0,1.0,120.0,120000.0,6,1,0,187
2.0,1.0,75.0,130.0,2,0,0,5
3.0,1.0,200.0,90000.0,5,1,0,187
3.0,1.0,120.0,550000.0,6,1,0,5
1.0,1.0,50.0,85.0,3,0,0,70
2.0,1.0,105.0,230000.0,0,1,0,107
1.0,1.0,138.0,80000.0,5,1,0,187
2.0,1.0,70.0,90.0,3,0,0,70
2.0,1.0,103.0,115000.0,5,1,0,91
3.0,1.0,120.0,200000.0,6,1,0,187
3.0,1.0,120.0,260000.0,6,1,0,187
3.0,1.0,120.0,500000.0,6,1,0,187
3.0,1.0,120.0,170000.0,6,1,0,224
3.0,1.0,120.0,400000.0,6,1,0,224
3.0,1.0,120.0,270000.0,6,1,0,224
3.0,1.0,120.0,250000.0,6,1,0,224
3.0,1.0,120.0,280000.0,6,1,0,224
3.0,1.0,120.0,350000.0,6,1,0,224
3.0,1.0,120.0,180000.0,6,1,0,224
3.0,1.0,120.0,400000.0,6,1,0,187
3.0,1.0,120.0,150000.0,6,1,0,224
3.0,1.0,120.0,250000.0,6,1,0,224
3.0,1.0,120.0,220000.0,6,1,0,224
3.0,1.0,120.0,250000.0,6,1,0,224
3.0,1.0,163.0,340000.0,0,1,0,19
3.0,1.0,120.0,400000.0,5,1,0,91
3.0,1.0,120.0,200000.0,6,1,0,224
1.0,1.0,65.0,800.0,0,0,0,70
1.0,1.0,83.0,950.0,0,0,0,137
3.0,1.0,76.0,115000.0,0,1,0,37
3.0,1.0,120.0,90000.0,6,1,0,187
3.0,1.0,120.0,320000.0,6,1,0,137
1.0,1.0,50.0,300.0,0,0,0,19
3.0,1.0,120.0,75000.0,6,1,0,187
2.0,1.0,125.0,78000.0,5,1,0,7
2.0,1.0,110.0,900.0,0,0,0,6
3.0,1.0,120.0,85000.0,6,1,0,187
2.0,1.0,200.0,130.0,5,0,0,7
3.0,1.0,150.0,350000.0,0,1,0,70
2.0,1.0,130.0,300000.0,0,1,0,70
1.0,1.0,56.0,158000.0,0,1,0,107
1.0,1.0,27.0,70.0,0,0,0,7
1.0,1.0,36.0,119000.0,4,1,0,5
3.0,1.0,110.0,150000.0,0,1,0,187
2.0,1.0,100.0,230000.0,0,1,0,107
2.0,1.0,120.0,240000.0,0,1,0,70
3.0,1.0,120.0,75000.0,6,1,0,5
1.0,1.0,70.0,830.0,0,0,0,107
2.0,1.0,126.0,330000.0,0,1,0,70
1.0,1.0,87.0,243000.0,0,1,0,70
2.0,1.0,98.0,550.0,0,0,0,187
2.0,1.0,60.0,380.0,0,0,0,19
3.0,1.0,120.0,27400.0,6,1,0,5
3.0,1.0,85.0,150.0,0,0,0,91
3.0,1.0,120.0,400000.0,6,1,0,187
1.0,1.0,60.0,180000.0,0,1,0,70
2.0,1.0,130.0,750.0,0,0,0,137
2.0,1.0,120.0,700.0,0,0,0,137
2.0,1.0,130.0,650.0,5,0,0,91
4.0,1.0,110.0,1300.0,5,0,0,70
2.0,1.0,90.0,90.0,0,0,0,7
1.0,1.0,75.0,190000.0,0,1,0,70
4.0,1.0,100.0,400000.0,0,1,0,7
3.0,1.0,120.0,100000.0,6,1,0,19
1.0,1.0,80.0,120.0,0,0,0,137
3.0,1.0,130.0,1400.0,0,0,0,107
3.0,1.0,90.0,470.0,5,0,0,137
1.0,1.0,85.0,950.0,0,0,0,137
3.0,1.0,120.0,260000.0,6,1,0,161
2.0,1.0,110.0,115000.0,5,1,0,7
3.0,1.0,120.0,43000.0,6,1,0,7
3.0,1.0,130.0,120.0,0,0,0,7
3.0,1.0,120.0,470000.0,6,1,0,6
3.0,1.0,120.0,470000.0,6,1,0,6
1.0,1.0,72.0,160000.0,0,1,0,37
2.0,1.0,62.0,109000.0,0,1,0,37
3.0,1.0,120.0,250000.0,6,1,0,187
3.0,1.0,80.0,450.0,0,0,0,19
3.0,1.0,85.0,150000.0,0,1,0,19
1.0,1.0,40.0,300.0,0,0,0,91
2.0,1.0,100.0,290.0,5,0,0,37
2.0,1.0,80.0,380.0,5,0,0,5
2.0,1.0,90.0,250.0,5,0,0,187
3.0,1.0,110.0,790.0,0,0,0,137
2.0,1.0,100.0,400.0,0,0,0,187
2.0,1.0,90.0,900.0,1,0,0,70
3.0,1.0,130.0,370.0,5,0,0,137
2.0,1.0,52.0,85000.0,0,1,0,5
3.0,1.0,120.0,249000.0,6,1,0,5
3.0,1.0,120.0,190000.0,6,1,0,5
2.0,1.0,115.0,168000.0,0,1,0,91
3.0,1.0,100.0,125000.0,0,1,0,187
2.0,1.0,70.0,230000.0,0,1,0,5
3.0,1.0,120.0,230000.0,6,1,0,5
1.0,1.0,60.0,160000.0,1,1,0,5
3.0,1.0,131.0,2500.0,1,0,0,91
3.0,1.0,120.0,120000.0,6,1,0,91
2.0,1.0,100.0,1600.0,1,0,0,91
2.0,1.0,65.0,600.0,0,0,0,5
3.0,1.0,120.0,530000.0,6,1,0,107
3.0,1.0,80.0,800.0,0,0,0,70
2.0,1.0,60.0,650.0,0,0,0,70
1.0,1.0,57.0,145000.0,0,1,0,107
1.0,1.0,60.0,70.0,3,0,0,70
3.0,1.0,155.0,465.0,5,0,0,161
2.0,1.0,95.0,90.0,0,0,0,7
2.0,1.0,95.0,90.0,0,0,0,7
1.0,1.0,50.0,650.0,0,0,0,70
2.0,1.0,40.0,82000.0,4,1,0,137
1.0,1.0,80.0,90.0,0,0,0,137
3.0,1.0,120.0,480000.0,6,1,0,37
3.0,1.0,130.0,650.0,0,0,0,161
3.0,1.0,105.0,750.0,0,0,0,91
3.0,1.0,150.0,650.0,0,0,0,137
1.0,1.0,70.0,280.0,0,0,0,7
2.0,1.0,90.0,750.0,0,0,0,5
4.0,1.0,100.0,530.0,5,0,0,91
3.0,1.0,120.0,180000.0,6,1,0,224
4.0,1.0,110.0,600.0,0,0,0,5
2.0,1.0,105.0,220000.0,0,1,0,70
4.0,1.0,153.0,360000.0,0,1,0,5
